Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
4,5000,6,6,5801075.0,0.004461626,1,0.142496667,31.938281469580822,Realistic
4,5000,7,6,5682575.0,0.004683791,1,1.260550208,269.1303279757786,Realistic
4,5000,8,4,5836650.0,0.004697999,1,0.350570875,74.62131750134473,Realistic
4,5000,9,5,5893925.0,0.003672833,1,0.183333375,49.916066153838194,Realistic
4,5000,10,3,5903325.0,0.005182209,1,0.209205083,40.3698660165964,Realistic
4,5000,11,6,5802675.0,0.005132541,1,1.842487,358.9814479806396,Realistic
4,5000,12,5,5813825.0,0.005861958,1,0.407104833,69.44860966250526,Realistic
4,5000,13,5,5849800.0,0.003694083,1,0.196309875,53.141706615687845,Realistic
4,5000,14,3,5918675.0,0.003345875,1,0.976755959,291.92840706840514,Realistic
4,5000,15,6,5736900.0,0.003662458,1,0.243212,66.40676835065413,Realistic
4,5000,16,5,5791875.0,0.005251333,1,1.21125975,230.65757779977005,Realistic
4,5000,17,0,5871625.0,0.002683417,1,0.211859375,78.9513426351551,Realistic
4,5000,18,6,5851875.0,0.003682291,1,0.770098083,209.13558515608898,Realistic
4,5000,19,4,5879850.0,0.00311225,1,0.285860792,91.85020226524217,Realistic
8,500,0,6,2475656.25,0.000475541,1,0.024186875,50.86180791982184,Random
8,500,1,0,2497925.0,0.000514209,1,0.02449375,47.63384149246708,Random
8,500,2,6,2491012.5,0.000588124,1,0.042508042,72.27734627391503,Random
8,500,3,0,2464331.25,0.000281583,1,0.017183209,61.02360227712611,Random
8,500,4,4,2496131.25,0.000852125,1,0.021069125,24.725392401349566,Random
8,500,5,5,2442143.75,0.000489041,1,0.022873916,46.77300267257756,Random
8,500,6,5,2464937.5,0.000662084,1,0.023612333,35.66365143999855,Random
8,500,7,1,2438650.0,0.00073525,1,0.019006459,25.850335260115607,Random
8,500,8,0,2451243.75,0.00033925,1,0.023042417,67.92164185703759,Random
8,500,9,6,2465550.0,0.000601834,1,0.025077917,41.669159602149435,Random
8,500,10,0,2467387.5,0.000500958,1,0.0245855,49.07696852829977,Random
8,500,11,6,2502125.0,0.001124792,1,0.027403583,24.36324493773071,Random
8,500,12,5,2462656.25,0.000451042,1,0.021347083,47.32837075039575,Random
8,500,13,0,2496218.75,0.000476374,1,0.020311958,42.63867885316999,Random
8,500,14,6,2428675.0,0.00037925,1,0.018931,49.91694133157548,Random
8,500,15,6,2438381.25,0.000794499,1,0.03475325,43.742345805343994,Random
8,500,16,3,2501862.5,0.000628791,1,0.040224375,63.97097763803872,Random
8,500,17,1,2497493.75,0.000565041,1,0.034437208,60.94638796122759,Random
8,500,18,6,2450550.0,0.000863667,1,0.02289775,26.512243723564755,Random
8,500,19,5,2475481.25,0.000987125,1,0.030483459,30.881052551601876,Random
