Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
4,5000,5,3,5807150.0,0.005402416,1,6105275.0,4.883072425075038,Realistic
4,5000,6,6,5801075.0,0.004461626,1,6172875.0,6.02312536702914,Realistic
4,5000,7,6,5682575.0,0.004683791,1,6072650.0,6.423472454365063,Realistic
4,5000,8,4,5836650.0,0.004697999,1,6196900.0,5.813390566250868,Realistic
4,5000,9,5,5893925.0,0.003672833,1,6259575.0,5.84145089722545,Realistic
4,5000,10,3,5903325.0,0.005182209,1,6162200.0,4.201015870955178,Realistic
4,5000,11,6,5802675.0,0.005132541,1,6066250.0,4.34494127343911,Realistic
4,5000,12,5,5813825.0,0.005861958,1,6153525.0,5.520413096558477,Realistic
4,5000,13,5,5849800.0,0.003694083,1,6198325.0,5.62289005497453,Realistic
4,5000,14,3,5918675.0,0.003345875,1,6196575.0,4.484735519218278,Realistic
4,5000,15,6,5736900.0,0.003662458,1,6092500.0,5.8366844480919156,Realistic
4,5000,16,5,5791875.0,0.005251333,1,6132450.0,5.553653107648656,Realistic
4,5000,17,0,5871625.0,0.002683417,1,6203425.0,5.3486582009132055,Realistic
4,5000,18,6,5851875.0,0.003682291,1,6110475.0,4.2320768843666,Realistic
4,5000,19,4,5879850.0,0.00311225,1,6172850.0,4.746591930793718,Realistic
8,500,0,6,2475656.25,0.000475541,1,2495956.25,0.813315537882525,Random
8,500,1,0,2497925.0,0.000514209,1,2511881.25,0.5556094660127743,Random
8,500,2,6,2491012.5,0.000588124,1,2514418.75,0.9308811430077032,Random
8,500,3,0,2464331.25,0.000281583,1,2487600.0,0.9353895320791124,Random
8,500,4,4,2496131.25,0.000852125,1,2508556.25,0.495304819256096,Random
8,500,5,5,2442143.75,0.000489041,1,2491100.0,1.9652462767452128,Random
8,500,6,5,2464937.5,0.000662084,1,2514418.75,1.9679001359658173,Random
8,500,7,1,2438650.0,0.00073525,1,2474693.75,1.4564933539756182,Random
8,500,8,0,2451243.75,0.00033925,1,2494468.75,1.7328338949926712,Random
8,500,9,6,2465550.0,0.000601834,1,2485718.75,0.8113850370239996,Random
8,500,10,0,2467387.5,0.000500958,1,2491537.5,0.9692810162399723,Random
8,500,11,6,2502125.0,0.001124792,1,2515468.75,0.5304677309149636,Random
8,500,12,5,2462656.25,0.000451042,1,2487243.75,0.9885440459946879,Random
8,500,13,0,2496218.75,0.000476374,1,2509825.0,0.5421194704810096,Random
8,500,14,6,2428675.0,0.00037925,1,2437775.0,0.37329121842663904,Random
8,500,15,6,2438381.25,0.000794499,1,2486681.25,1.9423478582146385,Random
8,500,16,3,2501862.5,0.000628791,1,2517568.75,0.6238657832085023,Random
8,500,17,1,2497493.75,0.000565041,1,2514068.75,0.6592898463894434,Random
8,500,18,6,2450550.0,0.000863667,1,2475793.75,1.0196224948059587,Random
8,500,19,5,2475481.25,0.000987125,1,2511225.0,1.423359117562146,Random
8,1000,0,4,2667385.16,0.001865417,1,2699110.02,1.1753822469230013,Random
8,1000,1,4,2687997.59,0.001918416,1,2715595.18,1.0162630351995363,Random
8,1000,2,5,2660794.33,0.000966376,1,2676848.81,0.5997529610198635,Random
8,1000,3,3,2666841.61,0.002753417,1,2681608.62,0.5506773020441827,Random
8,1000,4,6,2618125.46,0.001055167,1,2633738.07,0.5927928132959657,Random
8,1000,5,5,2639884.39,0.001013584,1,2667260.25,1.026366287279236,Random
8,1000,6,5,2651147.75,0.002402833,1,2679715.89,1.0660883904375449,Random
8,1000,7,4,2668708.86,0.001596249,1,2698595.17,1.1074765986481794,Random
