Instance,Problem Type,User,1,5,10,20
4,Realistic,500,52.30484601160775,56.58224144743657,45.83458894537996,26.17203569025056
4,Realistic,1000,45.487096327551434,37.60756668626935,23.129156487991146,11.436963550455355
4,Realistic,2500,53.67535467358531,43.181065751218036,27.326353008275248,13.628994438657461
4,Realistic,5000,190.38368785840538,176.12012890389937,114.34345025714512,57.52436181491619
8,Random,500,45.68884966387535,39.374090346344886,29.356457464899385,18.287428363942926
8,Random,1000,33.55201614825667,31.06894605936774,20.16137614997932,10.213441091270308
8,Random,2500,31.988966016848508,29.54358601909704,18.771643194614033,10.299571072233771
8,Random,5000,36.35756194060977,33.55988851498226,18.97919829876708,9.744686102540994
12,Cluster,500,59.283670899872604,41.59652603887016,24.380359717190807,10.013489682453116
12,Cluster,1000,98.10742914083824,63.87472457694561,39.729000661203294,16.96982226018603
12,Cluster,2500,330.7592107818979,227.20231667985746,142.14751486681834,55.58588467974563
12,Cluster,5000,4866.167183074054,3032.8209797650957,2001.3528241006643,761.6750615919815
