Instance,Problem Type,User,1,5,10,20
4,Realistic,500,1.5338529133991794,1.5338529133991794,1.5338529133991794,1.5338529133991794
4,Realistic,1000,3.085728705070792,2.851088588981322,2.8058926906943205,2.8058926906943205
4,Realistic,2500,4.012864392825123,3.553654398328212,3.503873264361702,3.4583570507483117
4,Realistic,5000,5.324913368567876,4.614416360382568,4.506612164476015,4.489553622610921
8,Random,500,1.0368273889589745,0.9350507190867818,0.9350507190867818,0.9350507190867818
8,Random,1000,0.9777058949337419,0.9011113695329808,0.8926317441966395,0.8926317441966395
8,Random,2500,1.4677673074226385,1.3897592480461518,1.378315914765045,1.378315914765045
8,Random,5000,1.2475571702215842,1.1151170041444227,1.1133766562354563,1.1133766562354563
12,Clustered,500,2.7807226263156557,2.0459558667874713,1.9718642302514033,1.6998844170470035
12,Clustered,1000,4.823161177011183,2.8108439784442876,2.270292321369366,2.0673888364284
12,Clustered,2500,8.456225793344938,7.147758074957542,6.241608364980094,5.858240606005528
12,Clustered,5000,11.141352474161451,9.531698727063615,9.26447046340161,8.950598531309883
