Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
8,5000,13,6,5787234.26,0.005234542
8,5000,14,5,5764193.29,0.007925875
8,5000,15,5,5688610.14000001,0.00547
8,5000,16,5,5712866.91,0.006982417
8,5000,17,5,5766125.81000001,0.006810249
8,5000,18,0,5812709.52,0.003096916
8,5000,19,5,5668004.38,0.007770375
12,500,0,6,2907931.25,0.010043124
12,500,1,5,2886450.0,0.017201834
12,500,2,6,2935100.0,0.009648875
12,500,3,5,2888593.75,0.006203792
12,500,4,4,2907756.25,0.022714125
12,500,5,5,2837931.25,0.021329958
12,500,6,3,2873631.25,0.024529207
12,500,7,6,2916425.0,0.012011208
12,500,8,6,2918912.5,0.023538582
12,500,9,6,2925825.0,0.018505666
12,500,10,6,2859325.0,0.017009
12,500,11,0,2904212.5,0.011471458
12,500,12,6,2879231.25,0.018006709
12,500,13,6,2920006.25,0.021264833
12,500,14,6,2902331.25,0.027703417
12,500,15,3,2853025.0,0.015948083
12,500,16,6,2897081.25,0.009142042
12,500,17,6,2898393.75,0.029699459
12,500,18,4,2869431.25,0.020504708
12,500,19,3,2902550.0,0.017755166
12,1000,0,6,3450724.2,0.028421375
12,1000,1,3,3366422.08,0.035282667
12,1000,2,6,3377840.9,0.03508025
12,1000,3,6,3433300.08,0.03215
12,1000,4,6,3465467.6,0.026498625
12,1000,5,3,3423327.88,0.031058667
12,1000,6,6,3404931.53,0.03453475
12,1000,7,6,3437576.38,0.033064
12,1000,8,6,3440342.5,0.049405458
12,1000,9,6,3409060.2,0.029271875
12,1000,10,6,3452703.73,0.034202083
12,1000,11,6,3399800.95,0.031845167
12,1000,12,6,3429348.65,0.030337125
12,1000,13,6,3419797.99,0.032490792
12,1000,14,6,3474949.45,0.038864749
12,1000,15,6,3436419.77,0.032618584
12,1000,16,5,3456888.33,0.03828075
12,1000,17,6,3460585.45,0.032321709
12,1000,18,6,3427890.13,0.026784042
12,1000,19,6,3377255.56,0.044541708
12,2500,0,0,5021029.58,0.029636084
12,2500,1,6,4886020.34,0.024810834
12,2500,2,6,5009260.9,0.03340575
12,2500,3,6,4962319.53,0.024125209
12,2500,4,6,4847706.43,0.022379916
12,2500,5,5,4964598.77,0.029914709
12,2500,6,6,4799786.27,0.033723833
12,2500,7,6,4928738.33,0.034884583
12,2500,8,5,4735086.51,0.029216833
12,2500,9,4,5064782.28,0.025322917
12,2500,10,6,4813103.37,0.024978417
12,2500,11,6,4994257.94,0.027362458
12,2500,12,6,4956217.84,0.025709292
12,2500,13,6,5033409.01,0.030741709
12,2500,14,6,5110405.16,0.028030709
12,2500,15,6,5074085.82,0.031661334
12,2500,16,3,4884929.56,0.039465375
12,2500,17,5,4838460.01,0.024138501
12,2500,18,6,4920402.52,0.029603542
12,2500,19,6,4918408.53,0.025846124
12,5000,0,6,6965443.89,0.059143458
12,5000,1,6,6771635.78,0.050399625
12,5000,2,6,6667414.15,0.040321249
12,5000,3,6,6823560.32,0.050596125
12,5000,4,6,6798218.83,0.052347208
12,5000,5,6,6768566.06,0.050243542
12,5000,6,5,6497608.33,0.040994667
12,5000,7,6,6703922.76,0.047910626
12,5000,8,6,6989842.81,0.047159375
12,5000,9,6,6706028.08,0.043464292
12,5000,10,6,6980082.1,0.048519958
12,5000,11,6,6712703.66,0.0448795
12,5000,12,4,6733197.95,0.075142542
12,5000,13,6,6664460.05,0.052618209
12,5000,14,6,6743102.77,0.045198
12,5000,15,6,6823216.77,0.046182541
12,5000,16,6,6980823.21,0.054372376
12,5000,17,6,6858499.52,0.06082975
12,5000,18,6,6738620.34,0.044625251
12,5000,19,6,6792790.83,0.04122725
