Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
8,1000,8,CP-SAT,0.098370792,2673574.0
8,1000,9,CP-SAT,0.154704708,2679277.0
8,1000,10,CP-SAT,0.1743705,2662900.0
8,1000,11,CP-SAT,0.093109875,2671662.0
8,1000,12,CP-SAT,0.095459708,2656471.0
8,1000,13,CP-SAT,0.099988375,2673977.0
8,1000,14,CP-SAT,0.11218075,2706818.0
8,1000,15,CP-SAT,0.147075167,2710585.0
8,1000,16,CP-SAT,0.146625833,2682160.0
8,1000,17,CP-SAT,0.170671708,2685124.0
8,1000,18,CP-SAT,0.123929458,2677875.0
8,1000,19,CP-SAT,0.11535525,2701499.0
8,2500,0,CP-SAT,0.22708,3658835.0
8,2500,1,CP-SAT,0.225504917,3665399.0
8,2500,2,CP-SAT,0.256832875,3711083.0
8,2500,3,CP-SAT,0.216637167,3678641.0
8,2500,4,CP-SAT,0.210128792,3665561.0
8,2500,5,CP-SAT,0.338566,3683704.0
8,2500,6,CP-SAT,0.258888458,3688597.0
8,2500,7,CP-SAT,0.222705125,3683226.0
8,2500,8,CP-SAT,0.332033625,3699747.0
8,2500,9,CP-SAT,0.292363167,3688900.0
8,2500,10,CP-SAT,0.262069959,3652152.0
8,2500,11,CP-SAT,0.310323958,3695993.0
8,2500,12,CP-SAT,0.272741708,3673355.0
8,2500,13,CP-SAT,0.280211709,3697364.0
8,2500,14,CP-SAT,0.210524459,3690362.0
8,2500,15,CP-SAT,0.195561708,3645468.0
8,2500,16,CP-SAT,0.301220333,3711503.0
8,2500,17,CP-SAT,0.346369292,3642436.0
8,2500,18,CP-SAT,0.324515042,3671257.0
8,2500,19,CP-SAT,0.300020875,3689497.0
8,5000,0,CP-SAT,0.205279167,5816977.0
8,5000,1,CP-SAT,0.300008625,5756611.0
8,5000,2,CP-SAT,0.2949755,5800158.0
8,5000,3,CP-SAT,0.30815025,5779080.0
8,5000,4,CP-SAT,0.225934417,5769104.0
8,5000,5,CP-SAT,0.29294825,5803201.0
8,5000,6,CP-SAT,0.297696417,5850542.0
8,5000,7,CP-SAT,0.23521375,5818480.0
8,5000,8,CP-SAT,0.251737875,5773917.0
8,5000,9,CP-SAT,0.334393125,5756680.0
8,5000,10,CP-SAT,0.331096375,5807255.0
8,5000,11,CP-SAT,0.240403166,5860303.0
8,5000,12,CP-SAT,0.384509333,5862295.0
8,5000,13,CP-SAT,0.282866209,5812058.0
8,5000,14,CP-SAT,0.311331583,5820776.0
8,5000,15,CP-SAT,0.291116584,5761784.0
8,5000,16,CP-SAT,0.515911083,5790660.0
8,5000,17,CP-SAT,0.283747709,5833529.0
8,5000,18,CP-SAT,0.2245,5867544.0
8,5000,19,CP-SAT,0.220945375,5766719.0
12,500,0,CP-SAT,0.935676334,2952422.0
12,500,1,CP-SAT,1.239212375,2952422.0
12,500,2,CP-SAT,0.976319083,2952421.0
12,500,3,CP-SAT,0.679961833,2952422.0
12,500,4,CP-SAT,1.155333875,2952423.0
12,500,5,CP-SAT,1.508229042,2952421.0
12,500,6,CP-SAT,1.05215675,2952421.0
12,500,7,CP-SAT,1.124013125,2952422.0
12,500,8,CP-SAT,1.089883334,2952422.0
12,500,9,CP-SAT,1.156110458,2952422.0
12,500,10,CP-SAT,0.824722625,2952422.0
12,500,11,CP-SAT,1.176778833,2952422.0
12,500,12,CP-SAT,0.984487792,2952422.0
12,500,13,CP-SAT,1.646231833,2952421.0
12,500,14,CP-SAT,0.934529917,2952422.0
12,500,15,CP-SAT,1.112053083,2952421.0
12,500,16,CP-SAT,0.814470041,2952422.0
12,500,17,CP-SAT,1.2717705,2952421.0
12,500,18,CP-SAT,0.8454175,2952422.0
12,500,19,CP-SAT,1.335437916,2952422.0
12,1000,0,CP-SAT,2.637121666,3498277.0
12,1000,1,CP-SAT,2.594612,3501976.0
12,1000,2,CP-SAT,2.125541625,3512475.0
12,1000,3,CP-SAT,2.127475333,3511368.0
12,1000,4,CP-SAT,1.958442375,3512476.0
12,1000,5,CP-SAT,2.705849125,3511398.0
12,1000,6,CP-SAT,1.910336584,3509851.0
12,1000,7,CP-SAT,4.756697834,3488853.0
12,1000,8,CP-SAT,2.065535875,3501975.0
12,1000,9,CP-SAT,2.72873025,3510326.0
12,1000,10,CP-SAT,1.582890208,3512477.0
12,1000,11,CP-SAT,2.529465583,3511403.0
12,1000,12,CP-SAT,2.297545,3512475.0
12,1000,13,CP-SAT,2.368953208,3512477.0
12,1000,14,CP-SAT,1.875389333,3509849.0
12,1000,15,CP-SAT,2.33449725,3510325.0
12,1000,16,CP-SAT,1.270032625,3511402.0
12,1000,17,CP-SAT,5.92586875,3499832.0
12,1000,18,CP-SAT,3.710816292,3507161.0
12,1000,19,CP-SAT,5.084681,3490338.0
12,2500,0,CP-SAT,3.51231425,5284690.0
12,2500,1,CP-SAT,4.104153458,5286557.0
12,2500,2,CP-SAT,38.597618833,5182319.0
12,2500,3,CP-SAT,9.786714541,5268532.0
12,2500,4,CP-SAT,11.282080541,5242920.0
12,2500,5,CP-SAT,14.73999275,5263749.0
12,2500,6,CP-SAT,12.759140083,5311493.0
12,2500,7,CP-SAT,3.385809708,5284166.0
12,2500,8,CP-SAT,6.144065917,5229489.0
12,2500,9,CP-SAT,8.901808583,5264805.0
12,2500,10,CP-SAT,7.942227292,5275850.0
12,2500,11,CP-SAT,5.49982075,5265293.0
12,2500,12,CP-SAT,2.6364155,5310979.0
12,2500,13,CP-SAT,9.938018542,5284179.0
12,2500,14,CP-SAT,4.080055916,5318780.0
12,2500,15,CP-SAT,4.86129875,5233420.0
12,2500,16,CP-SAT,8.841118291,5235898.0
12,2500,17,CP-SAT,8.393358833,5268065.0
12,2500,18,CP-SAT,6.5699795,5318077.0
12,2500,19,CP-SAT,50.235817917,5212158.0
12,5000,0,CP-SAT,529.618951959,7522311.0
12,5000,1,CP-SAT,1124.405994042,7491335.0
12,5000,2,CP-SAT,577.864704084,7467875.0
12,5000,3,CP-SAT,1057.783834291,7561061.0
12,5000,4,CP-SAT,3600.249762209,7513645.0
12,5000,5,CP-SAT,90.633621959,7599720.0
12,5000,6,CP-SAT,2638.298079667,7351660.0
12,5000,7,CP-SAT,1421.205991875,7335808.0
12,5000,8,CP-SAT,101.049628417,7566946.0
12,5000,9,CP-SAT,116.547306084,7543748.0
12,5000,10,CP-SAT,212.9142785,7644522.0
12,5000,11,CP-SAT,1829.474879375,7470611.0
12,5000,12,CP-SAT,1508.774544666,7473750.0
12,5000,13,CP-SAT,226.494608958,7408604.0
12,5000,14,CP-SAT,1124.422378084,7414253.0
12,5000,15,CP-SAT,566.682885542,7432373.0
12,5000,16,CP-SAT,826.987517667,7423609.0
12,5000,17,CP-SAT,1311.897146875,7364297.0
12,5000,18,CP-SAT,245.441422,7514325.0
12,5000,19,CP-SAT,788.358555833,7479891.0
