Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
8,1000,13,Gurobi,0.047208042,2674006.27
8,1000,14,Gurobi,0.047153625,2706846.02
8,1000,15,Gurobi,0.089070708,2710613.89
8,1000,16,Gurobi,0.041668375,2682188.08
8,1000,17,Gurobi,0.066591833,2685153.37
8,1000,18,Gurobi,0.045652084,2677903.94
8,1000,19,Gurobi,0.040396708,2701530.34
8,2500,0,Gurobi,0.112235375,3658867.46
8,2500,1,Gurobi,0.106217708,3665428.86
8,2500,2,Gurobi,0.122592125,3711113.25
8,2500,3,Gurobi,0.111095042,3678675.55
8,2500,4,Gurobi,0.105757625,3665591.34
8,2500,5,Gurobi,0.095746417,3683732.05
8,2500,6,Gurobi,0.096165959,3688629.2
8,2500,7,Gurobi,0.144002208,3683256.14
8,2500,8,Gurobi,0.164236666,3699775.65
8,2500,9,Gurobi,0.090936666,3688928.78
8,2500,10,Gurobi,0.082213833,3652180.2
8,2500,11,Gurobi,0.122389666,3696023.35
8,2500,12,Gurobi,0.094578708,3673384.32
8,2500,13,Gurobi,0.116426625,3697392.27
8,2500,14,Gurobi,0.115940834,3690393.9
8,2500,15,Gurobi,0.073296208,3645498.51
8,2500,16,Gurobi,0.12280175,3711533.13
8,2500,17,Gurobi,0.141285459,3642465.79
8,2500,18,Gurobi,0.097631041,3671288.73
8,2500,19,Gurobi,0.088830542,3689527.88
8,5000,0,Gurobi,0.094688334,5817005.54
8,5000,1,Gurobi,0.144807667,5756639.71
8,5000,2,Gurobi,0.102006167,5800190.84
8,5000,3,Gurobi,0.169654209,5779109.22
8,5000,4,Gurobi,0.128809292,5769133.1
8,5000,5,Gurobi,0.156830791,5803227.44
8,5000,6,Gurobi,0.11074775,5850569.7
8,5000,7,Gurobi,0.10188475,5818509.3
8,5000,8,Gurobi,0.113724458,5773947.42
8,5000,9,Gurobi,0.145495875,5756710.41
8,5000,10,Gurobi,0.157557042,5807285.43
8,5000,11,Gurobi,0.09680225,5860328.56
8,5000,12,Gurobi,0.104096334,5862323.89
8,5000,13,Gurobi,0.125651333,5812085.71
8,5000,14,Gurobi,0.103876125,5820804.81
8,5000,15,Gurobi,0.10060775,5761809.0
8,5000,16,Gurobi,0.11305275,5790685.7
8,5000,17,Gurobi,0.119808458,5833555.78
8,5000,18,Gurobi,0.137037958,5867576.62
8,5000,19,Gurobi,0.152397417,5766745.68
12,500,0,Gurobi,0.350410792,2952425.0
12,500,1,Gurobi,0.355297166,2952425.0
12,500,2,Gurobi,0.186484458,2952425.0
12,500,3,Gurobi,0.15613625,2952425.0
12,500,4,Gurobi,0.481616167,2952425.0
12,500,5,Gurobi,0.361497333,2952425.0
12,500,6,Gurobi,0.671206208,2952425.0
12,500,7,Gurobi,0.323352833,2952425.0
12,500,8,Gurobi,0.499033875,2952425.0
12,500,9,Gurobi,0.727494542,2952425.0
12,500,10,Gurobi,0.32444175,2952425.0
12,500,11,Gurobi,0.232587,2952425.0
12,500,12,Gurobi,0.387721792,2952425.0
12,500,13,Gurobi,0.578571792,2952425.0
12,500,14,Gurobi,0.661819292,2952425.0
12,500,15,Gurobi,0.480020458,2952425.0
12,500,16,Gurobi,0.184129584,2952425.0
12,500,17,Gurobi,0.854204417,2952425.0
12,500,18,Gurobi,0.317319042,2952425.0
12,500,19,Gurobi,0.500025625,2952425.0
12,1000,0,Gurobi,1.041839875,3498292.28
12,1000,1,Gurobi,0.961732542,3501995.0
12,1000,2,Gurobi,0.755844584,3512495.0
12,1000,3,Gurobi,0.987970333,3511389.0
12,1000,4,Gurobi,0.331026375,3512495.0
12,1000,5,Gurobi,0.886750833,3511418.68
12,1000,6,Gurobi,0.662927666,3509870.0
12,1000,7,Gurobi,4.003483042,3488870.0
12,1000,8,Gurobi,2.852015334,3501995.0
12,1000,9,Gurobi,2.323797917,3510342.64
12,1000,10,Gurobi,1.4214425,3512495.0
12,1000,11,Gurobi,1.384552042,3511419.8
12,1000,12,Gurobi,0.879733125,3512495.0
12,1000,13,Gurobi,0.624109417,3512495.0
12,1000,14,Gurobi,1.422924875,3509870.0
12,1000,15,Gurobi,0.938783584,3510341.8
12,1000,16,Gurobi,0.685133334,3511419.8
12,1000,17,Gurobi,2.19035725,3499848.8
12,1000,18,Gurobi,1.073754,3507180.88
12,1000,19,Gurobi,1.58396775,3490357.08
12,2500,0,Gurobi,1.02710975,5284576.22
12,2500,1,Gurobi,1.380573333,5286590.4
12,2500,2,Gurobi,13.734460042,5182344.93
12,2500,3,Gurobi,5.002316875,5268557.86117701
12,2500,4,Gurobi,4.384734584,5242953.1
12,2500,5,Gurobi,4.145764709,5263778.8
12,2500,6,Gurobi,6.446503834,5311522.93
12,2500,7,Gurobi,1.426190542,5284195.56
12,2500,8,Gurobi,4.886888208,5229517.58702387
12,2500,9,Gurobi,2.891241375,5264830.08
12,2500,10,Gurobi,4.809427167,5275876.48
12,2500,11,Gurobi,2.751535667,5265322.62
12,2500,12,Gurobi,1.038736584,5311006.96
12,2500,13,Gurobi,4.348020125,5284208.32
12,2500,14,Gurobi,4.397617833,5318809.6
12,2500,15,Gurobi,3.468052042,5233451.32
12,2500,16,Gurobi,8.024100584,5235922.54992288
12,2500,17,Gurobi,2.011345167,5267781.12
12,2500,18,Gurobi,1.715625125,5318105.8
12,2500,19,Gurobi,5.174709125,5212184.74
12,5000,0,Gurobi,73.252419042,7522337.69
12,5000,1,Gurobi,76.333392208,7491358.48
12,5000,2,Gurobi,59.515364959,7467900.5594962
12,5000,3,Gurobi,72.33291275,7561088.14
12,5000,4,Gurobi,261.189892333,7513671.19
12,5000,5,Gurobi,28.882677334,7599746.3
