,Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
0,4,500,0,OR_Tools,0.13109979100408964,
1,4,500,1,OR_Tools,0.2365668750135228,
2,4,500,2,OR_Tools,0.1794498749950435,
3,4,500,3,OR_Tools,0.14351454199641012,
4,4,500,4,OR_Tools,0.12775024998700246,
5,4,500,5,OR_Tools,0.11849220900330693,
6,4,500,6,OR_Tools,0.1807583330082707,
7,4,500,7,OR_Tools,0.18713666699477471,
8,4,500,8,OR_Tools,0.13432529199053533,
9,4,500,9,OR_Tools,0.1860211250022985,
10,4,500,10,OR_Tools,0.20886795801925473,
11,4,500,11,OR_Tools,0.17187708301935345,
12,4,500,12,OR_Tools,0.16693695800495334,
13,4,500,13,OR_Tools,0.10978708299808204,
14,4,500,14,OR_Tools,0.09559037498547696,
15,4,500,15,OR_Tools,0.1097524170181714,
16,4,500,16,OR_Tools,0.12419474998023361,
17,4,500,17,OR_Tools,0.15011812499142252,
18,4,500,18,OR_Tools,0.09371066698804498,
19,4,500,19,OR_Tools,0.13683429200318642,
20,4,1000,0,OR_Tools,0.49156258298899047,
21,4,1000,1,OR_Tools,0.44540420797420666,
22,4,1000,2,OR_Tools,0.4637503330013715,
23,4,1000,3,OR_Tools,0.5277254169923253,
24,4,1000,4,OR_Tools,0.4393375420186203,
25,4,1000,5,OR_Tools,0.35935899999458343,
26,4,1000,6,OR_Tools,0.4310890840133652,
27,4,1000,7,OR_Tools,0.5050044580129907,-0.0
28,4,1000,8,OR_Tools,0.5460993750020862,299825.0
29,4,1000,9,OR_Tools,0.43866020897985436,
30,4,1000,10,OR_Tools,0.5185386249795556,
31,4,1000,11,OR_Tools,0.5613142920192331,1626925.0
32,4,1000,12,OR_Tools,0.41494849999435246,
33,4,1000,13,OR_Tools,0.4828256250184495,
34,4,1000,14,OR_Tools,0.44975562498439103,
35,4,1000,15,OR_Tools,0.49785933300154284,-0.0
36,4,1000,16,OR_Tools,0.4653787499992177,
37,4,1000,17,OR_Tools,0.46642399998381734,
38,4,1000,18,OR_Tools,0.4554904170217924,
39,4,1000,19,OR_Tools,0.5250886249996256,-0.0
40,4,2500,0,OR_Tools,0.4551369580149185,
41,4,2500,1,OR_Tools,0.4574621659994591,
42,4,2500,2,OR_Tools,0.419428916007746,
43,4,2500,3,OR_Tools,0.4403931249980815,
44,4,2500,4,OR_Tools,0.47708412501378916,
45,4,2500,5,OR_Tools,0.5143092500220519,-0.0
46,4,2500,6,OR_Tools,0.7319554580026306,
47,4,2500,7,OR_Tools,0.433626500016544,
48,4,2500,8,OR_Tools,0.49173941600020044,
49,4,2500,9,OR_Tools,0.4500775419874117,
50,4,2500,10,OR_Tools,0.45104304200503975,
51,4,2500,11,OR_Tools,0.3956604579871055,
52,4,2500,12,OR_Tools,0.40836066601332277,
53,4,2500,13,OR_Tools,0.4113142910064198,
54,4,2500,14,OR_Tools,0.4239853330072947,
55,4,2500,15,OR_Tools,0.4658691670047119,
56,4,2500,16,OR_Tools,0.4431978749926202,
57,4,2500,17,OR_Tools,0.7138122920005117,
58,4,2500,18,OR_Tools,0.44949933301541023,
59,4,2500,19,OR_Tools,0.46234212498529814,
60,4,5000,0,OR_Tools,0.4800689580151811,
61,4,5000,1,OR_Tools,0.4819333750056103,
62,4,5000,2,OR_Tools,0.4993665410147514,
63,4,5000,3,OR_Tools,0.5043189999996684,
64,4,5000,4,OR_Tools,0.503428125026403,
65,4,5000,5,OR_Tools,0.4587393749970943,
66,4,5000,6,OR_Tools,0.36785233300179243,
67,4,5000,7,OR_Tools,0.44244120898656547,
68,4,5000,8,OR_Tools,0.38836824998725206,
69,4,5000,9,OR_Tools,0.5117265000008047,
70,4,5000,10,OR_Tools,0.41774504201021045,
71,4,5000,11,OR_Tools,0.4234858329873532,
72,4,5000,12,OR_Tools,0.49068225000519305,
73,4,5000,13,OR_Tools,0.43097541699535213,
74,4,5000,14,OR_Tools,0.6924764580035117,
75,4,5000,15,OR_Tools,0.4827122089918703,
76,4,5000,16,OR_Tools,0.418054583016783,
77,4,5000,17,OR_Tools,0.371919083991088,
78,4,5000,18,OR_Tools,0.4383282089838758,
79,4,5000,19,OR_Tools,0.42544550000457093,
80,8,500,0,OR_Tools,0.0704535830009263,
81,8,500,1,OR_Tools,0.07979891702416353,
82,8,500,2,OR_Tools,0.0831475830054842,
83,8,500,3,OR_Tools,0.0667552090017125,
84,8,500,4,OR_Tools,0.07821499998681247,
85,8,500,5,OR_Tools,0.07233991599059664,
86,8,500,6,OR_Tools,0.08860450002248399,
87,8,500,7,OR_Tools,0.06429512501927093,
88,8,500,8,OR_Tools,0.08439866700791754,
89,8,500,9,OR_Tools,0.08258941699750721,
90,8,500,10,OR_Tools,0.08186266600387171,
91,8,500,11,OR_Tools,0.08347687497735023,
92,8,500,12,OR_Tools,0.07285154098644853,
93,8,500,13,OR_Tools,0.06899770797463134,
94,8,500,14,OR_Tools,0.05936966699664481,
95,8,500,15,OR_Tools,0.36101516598137096,
96,8,500,16,OR_Tools,0.09622733300784603,
97,8,500,17,OR_Tools,0.08964662501239218,
98,8,500,18,OR_Tools,0.07722795801237226,
99,8,500,19,OR_Tools,0.09371879100217484,
100,8,1000,0,OR_Tools,0.16316299999016337,
101,8,1000,1,OR_Tools,0.1736393750179559,
102,8,1000,2,OR_Tools,0.14096091699320823,
103,8,1000,3,OR_Tools,0.23442725001950748,
104,8,1000,4,OR_Tools,0.15413100001751445,
105,8,1000,5,OR_Tools,0.132330666994676,
106,8,1000,6,OR_Tools,0.2014799159951508,
107,8,1000,7,OR_Tools,0.1961019999871496,
108,8,1000,8,OR_Tools,0.1236049169965554,
109,8,1000,9,OR_Tools,0.18053087501903065,
110,8,1000,10,OR_Tools,0.185958040994592,
111,8,1000,11,OR_Tools,0.11585279100108892,
112,8,1000,12,OR_Tools,0.1195732920023147,
113,8,1000,13,OR_Tools,0.14244150000740774,
114,8,1000,14,OR_Tools,0.16039987502153963,
115,8,1000,15,OR_Tools,0.17308520898222923,
116,8,1000,16,OR_Tools,0.16068475000793114,
117,8,1000,17,OR_Tools,0.17748837498947978,
118,8,1000,18,OR_Tools,0.18052437499864027,
119,8,1000,19,OR_Tools,0.1335253750148695,
120,8,2500,0,OR_Tools,0.23943891702219844,
121,8,2500,1,OR_Tools,0.30607929098187014,
122,8,2500,2,OR_Tools,0.3443890420021489,
123,8,2500,3,OR_Tools,0.28699491699808277,
124,8,2500,4,OR_Tools,0.22229575001983903,
125,8,2500,5,OR_Tools,0.3311157090065535,
126,8,2500,6,OR_Tools,0.3147740839922335,
127,8,2500,7,OR_Tools,0.337944625003729,
128,8,2500,8,OR_Tools,0.3709831669984851,
129,8,2500,9,OR_Tools,0.3109994580154307,
130,8,2500,10,OR_Tools,0.2856212920160033,
131,8,2500,11,OR_Tools,0.3607277499977499,
132,8,2500,12,OR_Tools,0.29573270899709314,
133,8,2500,13,OR_Tools,0.2910012919746805,
134,8,2500,14,OR_Tools,0.34946866598329507,
135,8,2500,15,OR_Tools,0.24024191702483222,
136,8,2500,16,OR_Tools,0.33548341700225137,
137,8,2500,17,OR_Tools,0.36840870897867717,
138,8,2500,18,OR_Tools,0.3485967500018887,
139,8,2500,19,OR_Tools,0.3156850000086706,
140,8,5000,0,OR_Tools,0.346161208988633,
141,8,5000,1,OR_Tools,0.34661929099820554,
142,8,5000,2,OR_Tools,0.3613303750171326,
143,8,5000,3,OR_Tools,0.35338791701360606,
144,8,5000,4,OR_Tools,0.36361791600938886,
145,8,5000,5,OR_Tools,0.323953832994448,
146,8,5000,6,OR_Tools,0.37341600001673214,
147,8,5000,7,OR_Tools,0.3470095419907011,
148,8,5000,8,OR_Tools,0.3478604580159299,
149,8,5000,9,OR_Tools,0.3829639999894425,
150,8,5000,10,OR_Tools,0.3199122500082012,
151,8,5000,11,OR_Tools,0.31543283400242217,
152,8,5000,12,OR_Tools,0.3334332919912413,
153,8,5000,13,OR_Tools,0.35053791699465364,
154,8,5000,14,OR_Tools,0.3743935000093188,
155,8,5000,15,OR_Tools,0.3442811669956427,
156,8,5000,16,OR_Tools,0.3382357500086073,
157,8,5000,17,OR_Tools,0.3659852909913752,
158,8,5000,18,OR_Tools,0.5801356250012759,
159,8,5000,19,OR_Tools,0.36751845898106694,
160,12,500,0,OR_Tools,0.6766553749912418,2789200.0
161,12,500,1,OR_Tools,0.9821319170005154,2774882.0
162,12,500,2,OR_Tools,0.696190624992596,2752393.0
163,12,500,3,OR_Tools,0.42309570900397375,2683621.0
164,12,500,4,OR_Tools,1.2309017920051701,2864351.0
165,12,500,5,OR_Tools,1.0439419590111356,2722263.0
166,12,500,6,OR_Tools,1.361567083018599,2788621.0
167,12,500,7,OR_Tools,0.7655147910118103,2840074.0
168,12,500,8,OR_Tools,1.1486301670083776,2803888.0
169,12,500,9,OR_Tools,0.9451960420119576,2559545.0
170,12,500,10,OR_Tools,0.804366458003642,2733843.0
171,12,500,11,OR_Tools,0.9018772499985062,2569615.0
172,12,500,12,OR_Tools,0.8992273329931777,2819594.0
173,12,500,13,OR_Tools,1.300397040991811,2866845.0
174,12,500,14,OR_Tools,1.4185309169988614,2852449.0
175,12,500,15,OR_Tools,0.838005792000331,2734108.0
176,12,500,16,OR_Tools,0.6024444999929983,2817450.0
177,12,500,17,OR_Tools,1.4375171659921762,2871483.0
178,12,500,18,OR_Tools,1.002152582979761,2802487.0
179,12,500,19,OR_Tools,1.043014166993089,2803890.0
180,12,1000,0,OR_Tools,1.4610754580062348,3223090.0
181,12,1000,1,OR_Tools,1.661511124984827,3269984.0
182,12,1000,2,OR_Tools,1.676137500006007,3124090.0
183,12,1000,3,OR_Tools,1.5102363330079243,3234429.0
184,12,1000,4,OR_Tools,1.3988062090065796,3237465.0
185,12,1000,5,OR_Tools,1.5737755829759408,3240760.0
186,12,1000,6,OR_Tools,1.8501430829928722,3052390.0
187,12,1000,7,OR_Tools,1.6670042090117931,3324800.0
188,12,1000,8,OR_Tools,2.206229000003077,3275213.0
189,12,1000,9,OR_Tools,1.8354996249836404,3232217.0
190,12,1000,10,OR_Tools,1.8133378750062548,3304101.0
191,12,1000,11,OR_Tools,1.6418450420023873,3168234.0
192,12,1000,12,OR_Tools,1.5949679170153104,3209155.0
193,12,1000,13,OR_Tools,1.6723928750143386,3329668.0
194,12,1000,14,OR_Tools,1.8016513329930604,3305237.0
195,12,1000,15,OR_Tools,1.5061396249802783,3272233.0
196,12,1000,16,OR_Tools,1.5454587920103222,3237317.0
197,12,1000,17,OR_Tools,1.4112989160057623,3425919.0
198,12,1000,18,OR_Tools,1.5024573749979027,3187339.0
199,12,1000,19,OR_Tools,2.2172822919965256,3130459.0
200,12,2500,0,OR_Tools,1.2640089160122443,4623518.0
201,12,2500,1,OR_Tools,1.1381277909968048,4522839.0
202,12,2500,2,OR_Tools,1.5396640830149408,4718731.0
203,12,2500,3,OR_Tools,1.4505530829774216,4738540.0
204,12,2500,4,OR_Tools,1.3156169999856502,4794809.0
205,12,2500,5,OR_Tools,1.4146953329909593,4741511.0
206,12,2500,6,OR_Tools,1.7810725840099622,4588702.0
207,12,2500,7,OR_Tools,1.3719542079779785,4589177.0
208,12,2500,8,OR_Tools,1.3219612080138177,4344735.0
209,12,2500,9,OR_Tools,1.200340999988839,4682376.0
210,12,2500,10,OR_Tools,1.2441060410055798,4483251.0
211,12,2500,11,OR_Tools,1.3967584580241237,4905941.0
212,12,2500,12,OR_Tools,1.3625114579917863,4742538.0
213,12,2500,13,OR_Tools,1.327511208015494,4891629.0
214,12,2500,14,OR_Tools,1.4455077499733306,4680539.0
215,12,2500,15,OR_Tools,1.4035002080199774,4443203.0
216,12,2500,16,OR_Tools,1.3453490830142982,4813373.0
217,12,2500,17,OR_Tools,1.342392042017309,4208916.0
218,12,2500,18,OR_Tools,1.4001247090054676,4608130.0
219,12,2500,19,OR_Tools,1.343844207993243,4714244.0
220,12,5000,0,OR_Tools,2.453632541000843,6690825.0
221,12,5000,1,OR_Tools,2.1665157089882996,6339504.0
222,12,5000,2,OR_Tools,1.8763931250141468,6192358.0
223,12,5000,3,OR_Tools,2.103700291016139,6531949.0
224,12,5000,4,OR_Tools,2.156003417010652,6427495.0
225,12,5000,5,OR_Tools,2.28907691600034,6386858.0
226,12,5000,6,OR_Tools,1.7739701249811333,6152288.0
227,12,5000,7,OR_Tools,1.9133583339862525,6426249.0
228,12,5000,8,OR_Tools,2.405710791994352,6858625.0
229,12,5000,9,OR_Tools,2.229285000008531,6199999.0
230,12,5000,10,OR_Tools,2.0497522499936167,6613564.0
231,12,5000,11,OR_Tools,2.23413595801685,6783411.0
232,12,5000,12,OR_Tools,2.6343106660060585,6601176.0
233,12,5000,13,OR_Tools,2.34931950000464,6485366.0
234,12,5000,14,OR_Tools,2.1422246669826563,6547031.0
235,12,5000,15,OR_Tools,2.186791458982043,6480155.0
236,12,5000,16,OR_Tools,2.1693984160083346,6462940.0
