Instance,User,Simulation,DLX+ Objective,Gurobi Objective,Gurobi Objective Relative to DLX+ (%)
8,1000,5,2650265.39,2639564.7,99.5962408126984
8,1000,6,2651147.75,2644727.07,99.75781508216582
8,1000,7,2668708.86,2667227.1,99.9444765211294
8,1000,8,2652707.79,2651563.01,99.95684485097394
8,1000,9,2638878.12,2628762.14,99.61665603563381
8,1000,10,2657284.3,2640203.74,99.35721744188231
8,1000,11,2644706.58,2639617.65,99.80758054453058
8,1000,12,2624090.81,2611093.23,99.50468253802542
8,1000,13,2662444.14,2659807.66,99.9009751994271
8,1000,14,2682855.18,2676966.01,99.78048871053858
8,1000,15,2665486.9,2651188.28,99.46356442419581
8,1000,16,2670063.73,2656480.35,99.49127131883102
8,1000,17,2668575.13,2653148.39,99.42191097314169
8,1000,18,2642117.58,2634188.33,99.6998903432602
8,1000,19,2672974.87,2665974.87,99.73811949829516
8,2500,0,3598792.41,3561655.45,98.96807162600412
8,2500,1,3590290.07,3568908.15,99.40445146260844
8,2500,2,3673673.19,3649189.66,99.33354088037429
8,2500,3,3613263.07,3580673.66,99.09806152033099
8,2500,4,3626574.6,3626574.6,100.0
8,2500,5,3639787.26,3612761.73,99.25749698898612
8,2500,6,3646321.81,3639279.81,99.80687387545753
8,2500,7,3653952.53,3587791.21,98.18932185197272
8,2500,8,3608755.05,3577754.85,99.14097245253596
8,2500,9,3636686.17,3621894.82,99.59327395027876
8,2500,10,3598615.41,3588406.61,99.71631311388175
8,2500,11,3654527.91,3635303.67,99.47396105671005
8,2500,12,3614941.72,3606985.33,99.77990267572004
8,2500,13,3617968.17,3596022.98,99.39343883171864
8,2500,14,3650144.67,3650144.67,100.0
8,2500,15,3606739.37,3600451.48,99.82566275644142
8,2500,16,3677924.66,3654810.17,99.37153443485707
8,2500,17,3596201.69,3555003.54,98.85439823593431
8,2500,18,3620745.7,3599510.85,99.41352274477602
8,2500,19,3653498.04,3646697.96,99.81387481461465
8,5000,0,5767449.9,5763644.7,99.93402283390445
8,5000,1,5693479.46,5681596.35,99.79128562624163
8,5000,2,5752495.78,5741409.04,99.80727078429946
8,5000,3,5683882.69,5651606.9,99.43215242536964
8,5000,4,5683829.14000001,5638847.09,99.20859602053397
8,5000,5,5728374.15,5688118.27,99.2972547018424
