INS,Average_DLX_Time,Average_CPSAT_Time,Average_Speedup
Realistic-500,0.00180155005,0.12693100005,83.79387883546119
Realistic-1000,0.00878331235,0.55453132285,64.74046219192124
Realistic-2500,0.0086120396,1.1132419937,134.10723898131315
Realistic-5000,0.0079555226,5.4720453624,734.6638815218836
Random-500,0.0009657666500000001,0.090251673,100.51827739189221
Random-1000,0.0027262043499999998,0.14047464375000002,56.06485512726838
Random-2500,0.0061950666,0.26921495845,45.51477391272727
Random-5000,0.00691386245,0.29163823965,43.99923890560921
Clustered-500,0.0177115623,1.09313981245,68.88983577603832
Clustered-1000,0.0338527188,2.7295240958,82.58611892604821
Clustered-2500,0.02874790645,11.11059049775,393.0145142676241
Clustered-5000,0.0498087772,994.95530460435,20200.5179467239
