Instance,User,Simulation,B,U,num_rows,density,avg_degree,max_degree,degree_std,D_mean,D_std,D_cv,avg_row_len,max_row_len,row_density,conflict_max,conflict_avg,conflict_std,conflict_pressure,color_clique_max,color_clique_avg,color_clique_std,color_pressure,Backtracking percentiles idx
4,500,0,297,1852,1188,0.0462735462735463,13.6969696969697,37,9.49086522946119,12519.4444444444,13643.5061307511,1.08978526893064,11.6228956228956,59,0.00627586156743824,11,4.17112299465241,1.92718251048586,0.183333333333333,20,7.90532544378698,4.02763031560434,5.0,5
4,500,1,351,2116,1404,0.0567032967032967,19.8461538461538,63,15.2019353532191,13629.0598290598,14807.3859380499,1.08645688871933,16.1424501424501,76,0.00762875715616736,12,5.21674876847291,2.58115857267174,0.2,27,11.4034653465347,6.40838620355762,6.75,6
4,500,2,305,1712,1220,0.0532786885245902,16.1967213114754,47,12.6620896316669,12404.0983606557,12112.0517988164,0.976455639632327,12.0622950819672,50,0.00704573310862571,14,4.36315789473684,2.14469002209147,0.233333333333333,24,9.40594059405941,5.56126078106564,6.0,6
4,500,3,311,1876,1244,0.0504511980085053,15.6398713826367,47,11.5421310724696,12048.9549839228,11323.1628174684,0.939763060993846,13.4726688102894,73,0.00718159318245703,10,4.55958549222798,2.13721620161181,0.166666666666667,19,9.62209302325581,4.71910765024517,4.75,5
4,500,4,291,1680,1164,0.0512856973575068,14.872852233677,48,11.8496154667619,12478.8659793814,13929.9588794835,1.11628403594523,11.5429553264605,60,0.00687080674194076,12,4.17877094972067,2.1846075668822,0.2,22,8.85084745762712,5.12601781150334,5.5,1
4,500,5,277,1624,1108,0.0530528959347041,14.6425992779783,46,11.683803057805,12474.6389891697,13201.9247330332,1.05830114558786,11.9638989169675,58,0.00736693283064502,11,4.06703910614525,2.1182837085667,0.183333333333333,21,9.20284697508897,5.15642767263648,5.25,4
4,500,6,325,1960,1300,0.052326685660019,16.9538461538462,49,12.7858464648409,12690.6153846154,13037.0432439406,1.02729795591671,13.8523076923077,65,0.00706750392464678,14,4.7258883248731,2.32967827405955,0.233333333333333,22,9.78356164383562,5.40012718517472,5.5,1
4,500,7,307,2016,1228,0.0572055097826318,17.5048859934853,57,14.7895929902625,12772.8827361564,13378.1907970598,1.0473900898808,15.8990228013029,93,0.00788642004032884,15,4.70165745856354,2.812648525495,0.25,26,10.6332453825858,7.08747103472173,6.5,6
4,500,8,296,1844,1184,0.0488089784699954,14.3986486486486,43,10.8983260956609,13196.7905405405,13909.2612607928,1.05398818129783,12.0540540540541,52,0.00653690566922671,10,4.24590163934426,1.91903668090918,0.166666666666667,20,8.30654761904762,4.35938560384036,5.0,1
4,500,9,289,1856,1156,0.0516147635524798,14.8650519031142,41,11.0537749778201,12462.0242214533,12918.9500094022,1.03666545497178,13.3494809688581,85,0.00719260828063477,11,4.25842696629214,2.04460424393793,0.183333333333333,21,9.14454277286136,4.76402367186663,5.25,6
4,500,10,344,2216,1376,0.0535460031188555,18.3662790697674,54,12.5972783186845,12531.25,13075.763997033,1.04345248854129,15.6017441860465,74,0.00704049827890186,12,5.02487562189055,2.24924047090855,0.2,20,10.1561771561772,4.73260183385417,5.0,5
