,Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
107,8,1000,7,6,2664547.520000002,0.06504045799999858
108,8,1000,8,0,2648793.040000001,0.01897779200001537
109,8,1000,9,0,2619851.070000001,0.051774333999986766
110,8,1000,10,6,2613278.940000001,0.06264866799998003
111,8,1000,11,0,2623892.290000001,0.02758012599997528
112,8,1000,12,5,2602802.240000001,0.02560820900001204
113,8,1000,13,0,2642455.0100000016,0.02913945800000306
114,8,1000,14,0,2651801.7800000007,0.04729887499999563
115,8,1000,15,0,2640089.6600000006,0.027713707999993176
116,8,1000,16,6,2656266.1700000013,0.06278525099997978
117,8,1000,17,6,2657723.5900000012,0.06740133399998172
118,8,1000,18,6,2627834.22,0.06537600000001476
119,8,1000,19,0,2661671.900000001,0.020602332999999362
120,8,2500,0,0,3559339.13,0.06086458400000083
121,8,2500,1,0,3562116.8200000008,0.09289200000000619
122,8,2500,2,0,3648317.53,0.1064228749999927
123,8,2500,3,0,3560006.65,0.09412000000000376
124,8,2500,4,0,3602107.519999999,0.05256529100003604
125,8,2500,5,0,3581281.8899999997,0.09358208300000115
126,8,2500,6,2,3625298.8000000003,0.10204512500001783
127,8,2500,7,0,3591266.13,0.10532324999999787
128,8,2500,8,0,3558634.6999999993,0.11711054200000603
129,8,2500,9,6,3590067.7799999993,0.102768540999989
130,8,2500,10,0,3573522.4400000004,0.08644879100000935
131,8,2500,11,4,3605247.2099999995,0.11578266700001905
132,8,2500,12,0,3592752.2300000014,0.09461433399999919
133,8,2500,13,0,3569351.6500000004,0.09098549999998795
134,8,2500,14,6,3622827.1,0.10709841700000311
135,8,2500,15,6,3570849.599999999,0.07916154200000847
136,8,2500,16,3,3653526.3699999996,0.10779079099998512
137,8,2500,17,1,3543825.450000001,0.11249158399999715
138,8,2500,18,4,3573756.9200000004,0.11453045700000075
139,8,2500,19,6,3644762.0400000005,0.09873662500001501
140,8,5000,0,3,5754810.98,0.11293883400000482
141,8,5000,1,5,5616995.589999999,0.11050883300001146
142,8,5000,2,6,5746675.42,0.11181333400000426
