Instance,User,Simulation,Backtracking based on percentiles,Total Allocated Demand,Computation Time(s)
8,5000,2,0,5749137.04,0.007258584
8,5000,3,6,5683882.69,0.008893
8,5000,4,0,5659689.5,0.00530475
8,5000,5,0,5688118.27,0.002384083
8,5000,6,0,5827814.17,0.002720416
8,5000,7,0,5752453.08,0.004211667
8,5000,8,0,5696979.48,0.00301825
8,5000,9,6,5692639.69,0.007375792
8,5000,10,0,5705365.85,0.003063292
8,5000,11,0,5726067.98,0.005303583
8,5000,12,0,5813140.49,0.00538575
8,5000,13,0,5771155.87,0.003367291
8,5000,14,0,5764193.29,0.003007042
8,5000,15,0,5688610.14,0.005103459
8,5000,16,6,5712866.91,0.006586125
8,5000,17,0,5763048.42,0.004238084
8,5000,18,0,5812709.52,0.002340292
8,5000,19,0,5612887.73,0.002972708
12,500,0,6,2907931.25,0.011709916
12,500,1,6,2886450,0.016004875
12,500,2,0,2763250,0.010427125
12,500,3,0,2721775,0.002079667
12,500,4,0,2897256.25,0.027137959
12,500,5,0,2758275,0.015237167
12,500,6,6,2873631.25,0.027111542
12,500,7,0,2906800,0.004343834
12,500,8,0,2797593.75,0.007631791
12,500,9,0,2851975,0.015848125
12,500,10,0,2798600,0.004803125
12,500,11,6,2904212.5,0.015286125
12,500,12,0,2841475,0.005536792
12,500,13,0,2866850,0.008283334
12,500,14,0,2877831.25,0.009654584
12,500,15,3,2853025,0.0147755
12,500,16,0,2817456.25,0.003212125
12,500,17,0,2878487.5,0.009754833
12,500,18,0,2836837.5,0.015173417
12,500,19,0,2899925,0.012203
12,1000,0,6,3450724.2,0.046784542
12,1000,1,6,3366422.08,0.03107975
12,1000,2,0,3246357.1,0.028649959
12,1000,3,6,3433300.08,0.03507
12,1000,4,0,3358875.4,0.033161541
12,1000,5,0,3359691.44,0.028929792
12,1000,6,0,3230944.42,0.020209625
12,1000,7,3,3437576.38,0.036188666
12,1000,8,0,3418773.05,0.033294375
12,1000,9,0,3399856.18,0.028353291
12,1000,10,0,3428036.22,0.025225458
12,1000,11,0,3275338.38,0.030786416
12,1000,12,6,3429348.65,0.03052425
12,1000,13,6,3419797.99,0.040436958
12,1000,14,6,3474949.45,0.040108792
12,1000,15,6,3436419.77,0.03232525
12,1000,16,6,3456888.33,0.035985834
12,1000,17,0,3453232.37,0.016998541
12,1000,18,6,3427890.13,0.027584291
12,1000,19,0,3328570.65,0.040414375
12,2500,0,3,5021029.58,0.03370575
12,2500,1,6,4886020.34,0.027058667
12,2500,2,0,4938942.56,0.030815625
12,2500,3,0,4774111.18,0.029709792
12,2500,4,0,4800655.23,0.024753042
12,2500,5,0,4846598.44,0.026831958
12,2500,6,6,4799786.27,0.037002917
12,2500,7,0,4634913.4,0.02797
12,2500,8,0,4566465.05,0.012306875
12,2500,9,0,4864032.71,0.016280583
12,2500,10,0,4749797.5,0.0147625
12,2500,11,0,4994257.94,0.0176385
12,2500,12,0,4915012.01,0.017827042
12,2500,13,0,4886809.57,0.018776791
12,2500,14,0,4875461.99,0.024531458
12,2500,15,0,4730308.03,0.026211375
12,2500,16,0,4813397.56,0.03359425
12,2500,17,1,4738953.05,0.034144542
12,2500,18,3,4920402.52,0.037110459
12,2500,19,6,4918408.53,0.030503416
12,5000,0,6,6965443.89,0.064110875
12,5000,1,6,6771635.78,0.067004292
12,5000,2,6,6667414.15,0.03983775
12,5000,3,0,6721137.84,0.031391083
12,5000,4,5,6798218.83,0.047432292
12,5000,5,4,6768566.06,0.054144875
12,5000,6,0,6297280.56,0.036150083
12,5000,7,0,6626646.57,0.030866042
12,5000,8,0,6928800.82,0.025436417
12,5000,9,0,6578655.52,0.037739667
12,5000,10,0,6711839.28,0.037413167
12,5000,11,6,6712703.66,0.046990708
12,5000,12,3,6733197.95,0.078001542
12,5000,13,0,6585912.5,0.04624425
12,5000,14,6,6743102.77,0.055790708
12,5000,15,0,6683245.61,0.036794542
12,5000,16,5,6980823.21,0.05459975
12,5000,17,6,6858499.52,0.054294792
12,5000,18,0,6719098.11,0.029700708
12,5000,19,6,6792790.83,0.056591833
