Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
8,5000,13,6,5787234.26,0.006016167
8,5000,14,6,5764193.29,0.006587792
8,5000,15,6,5688610.14000001,0.004450167
8,5000,16,6,5712866.91,0.008943042
8,5000,17,2,5766125.81000001,0.007877334
8,5000,18,0,5812709.52,0.005399083
8,5000,19,4,5668004.38,0.005836584
12,500,0,6,2907931.25,0.012723792
12,500,1,5,2886450.0,0.020445834
12,500,2,5,2935100.0,0.012070042
12,500,3,2,2888593.75,0.011531625
12,500,4,6,2907756.25,0.025047999
12,500,5,6,2837931.25,0.020159958
12,500,6,6,2873631.25,0.029895249
12,500,7,3,2916425.0,0.015165458
12,500,8,6,2918912.5,0.027897792
12,500,9,5,2925825.0,0.013876958
12,500,10,5,2859325.0,0.017030625
12,500,11,6,2904212.5,0.018157333
12,500,12,6,2879231.25,0.018429584
12,500,13,6,2920006.25,0.019986332
12,500,14,4,2902331.25,0.028179125
12,500,15,6,2853025.0,0.017502
12,500,16,6,2897081.25,0.011546916
12,500,17,5,2898393.75,0.032128958
12,500,18,4,2869431.25,0.019418082
12,500,19,6,2902550.0,0.014287667
12,1000,0,5,3450724.2,0.032706791
12,1000,1,5,3366422.08,0.033164209
12,1000,2,3,3377840.9,0.039626666
12,1000,3,6,3433300.08,0.028336668
12,1000,4,6,3465467.6,0.03153175
12,1000,5,6,3423327.88,0.030616042
12,1000,6,6,3404931.53,0.030961209
12,1000,7,6,3437576.38,0.0316205
12,1000,8,6,3440342.5,0.051155708
12,1000,9,5,3409060.2,0.041141375
12,1000,10,5,3452703.73,0.04033975
12,1000,11,3,3399800.95,0.037691582
12,1000,12,6,3429348.65,0.03378725
12,1000,13,6,3419797.99,0.028555167
12,1000,14,6,3474949.45,0.038730083
12,1000,15,6,3436419.77,0.024437875
12,1000,16,6,3456888.33,0.031266333
12,1000,17,6,3460585.45,0.031292084
12,1000,18,6,3427890.13,0.031700833
12,1000,19,6,3377255.56,0.033607333
12,2500,0,0,5021029.58,0.028942749
12,2500,1,3,4886020.34,0.020643459
12,2500,2,5,5009260.9,0.0343635
12,2500,3,3,4962319.53,0.033433292
12,2500,4,6,4847706.43,0.023598999
12,2500,5,4,4964598.77,0.037538417
12,2500,6,3,4799786.27,0.043219209
12,2500,7,2,4928738.33,0.03597475
12,2500,8,5,4735086.51,0.033846167
12,2500,9,6,5064782.28,0.033742292
12,2500,10,3,4813103.37,0.033967666
12,2500,11,6,4994257.94,0.029790874
12,2500,12,5,4956217.84,0.028246583
12,2500,13,4,5033409.01,0.033131708
12,2500,14,6,5110405.16,0.03208825
12,2500,15,3,5074085.82,0.035301374
12,2500,16,6,4884929.56,0.024389291
12,2500,17,5,4838460.01,0.0284935
12,2500,18,6,4920402.52,0.030987542
12,2500,19,4,4918408.53,0.0308865
12,5000,0,6,6965443.89,0.0591225
12,5000,1,6,6771635.78,0.048889292
12,5000,2,6,6667414.15,0.046944042
12,5000,3,6,6823560.32,0.052036625
12,5000,4,6,6798218.83,0.047433709
12,5000,5,6,6768566.06,0.052451625
12,5000,6,6,6497608.33,0.040698126
12,5000,7,5,6703922.76,0.0412645
12,5000,8,3,6989842.81,0.048127875
12,5000,9,6,6706028.08,0.044706125
12,5000,10,5,6980082.1,0.051542791
12,5000,11,6,6712703.66,0.060690208
12,5000,12,6,6733197.95,0.064549625
12,5000,13,6,6664460.05,0.044909459
12,5000,14,6,6743102.77,0.050509958
12,5000,15,6,6823216.77,0.041076209
12,5000,16,6,6980823.21,0.058706875
12,5000,17,6,6858499.52,0.058989334
12,5000,18,6,6738620.34,0.044532875
12,5000,19,6,6792790.83,0.057037167
